annual_income,monthly_income,income_bracket,lifestyle,housing,food_groceries,food_dining,transport,entertainment,healthcare,subscriptions,clothing,utilities,fitness,coffee,total_monthly_expenses,monthly_savings,savings_rate
22490.8,1874.23,low,frugal,478.11,207.58,137.96,162.06,71.49,52.23,63.19,50.24,170.22,30,34.32,1457.38,416.85,0.2224
30703.52,2558.63,low,frugal,720.29,244.84,176.2,206.51,92.92,55.05,29.77,130.39,143.47,0,66.59,1866.02,692.61,0.2707
20175.6,1681.3,low,frugal,423.12,197.44,147.96,147.35,68.43,94.74,58.87,50.63,194.03,60,10.48,1453.04,228.26,0.1358
31043.94,2586.99,low,frugal,685.13,293.07,201.63,222.38,96.53,124.04,26.36,91.3,129.7,100,41.88,2012.01,574.99,0.2223
17391.88,1449.32,low,frugal,437.4,166.49,116.84,119.08,73.61,54.15,51.44,57.07,222.5,100,16.11,1414.69,34.64,0.0239
16539.6,1378.3,low,frugal,360.96,142.88,106.5,113.16,52.8,85.2,109.61,45.73,78.37,100,60.8,1256.02,122.28,0.0887
15139.04,1261.59,low,frugal,278.21,140.02,87.96,98.59,52.29,47.81,56.36,75.31,242.5,30,19.74,1128.8,132.79,0.1053
15737.74,1311.48,low,frugal,368.98,169.55,92.97,107.45,52.31,82.72,96.16,35.14,220.62,60,38.06,1323.97,0.0,0.0
16805.8,1400.48,low,frugal,376.66,162.42,114.6,119.87,56.06,37.24,89.09,51.56,230.59,0,68.73,1306.82,93.66,0.0669
32546.79,2712.23,low,frugal,808.85,264.08,198.83,239.67,94.54,56.93,54.92,145.67,235.07,60,6.92,2165.48,546.75,0.2016
18232.57,1519.38,low,frugal,433.13,175.22,110.93,109.72,65.88,40.59,52.54,80.53,189.66,60,8.06,1326.23,193.15,0.1271
22354.32,1862.86,low,frugal,484.48,188.06,133.3,153.1,76.16,117.59,69.25,52.19,180.37,150,79.26,1683.76,179.1,0.0961
33297.29,2774.77,low,frugal,769.22,317.42,192.55,235.78,120.27,92.22,113.62,119.52,171.42,150,10.48,2292.52,482.26,0.1738
25366.59,2113.88,low,frugal,608.83,238.54,165.39,183.37,75.24,113.41,111.32,87.27,162.38,100,69.45,1915.2,198.69,0.094
32800.11,2733.34,low,frugal,694.77,259.76,199.4,203.69,108.99,120.25,23.05,51.17,200.84,60,59.95,1981.87,751.47,0.2749
19316.42,1609.7,low,frugal,424.38,176.86,116.32,122.06,75.43,79.04,52.3,86.34,104.39,0,76.3,1313.43,296.27,0.1841
31719.6,2643.3,low,frugal,694.42,323.42,185.23,206.09,108.42,115.47,115.49,140.5,147.78,30,32.68,2099.48,543.82,0.2057
30156.92,2513.08,low,frugal,728.65,288.23,167.52,200.09,74.46,56.87,81.59,102.23,76.52,60,60.65,1896.81,616.27,0.2452
28173.87,2347.82,low,frugal,646.74,254.8,177.8,189.72,79.66,125.69,114.15,70.22,233.18,30,68.71,1990.67,357.15,0.1521
15465.44,1288.79,low,frugal,343.85,148.65,95.44,97.39,55.26,60.46,37.74,68.99,212.94,30,62.7,1213.42,75.36,0.0585
21816.07,1818.01,low,frugal,572.28,189.44,126.62,148.48,72.79,101.72,58.92,36.23,226.99,150,72.32,1755.8,62.21,0.0342
26468.76,2205.73,low,frugal,577.18,278.09,146.03,159.32,96.4,107.58,74.95,83.01,213.56,0,59.35,1795.49,410.24,0.186
27364.36,2280.36,low,frugal,616.37,250.3,171.53,195.16,99.64,124.42,97.71,94.89,137.2,60,4.5,1851.73,428.63,0.188
17376.36,1448.03,low,frugal,415.92,146.04,108.59,130.05,57.42,44.26,116.32,30.75,248.66,0,44.35,1342.35,105.68,0.073
34386.05,2865.5,low,frugal,948.42,319.53,199.19,263.35,125.63,188.74,47.74,73.77,160.34,0,66.66,2393.36,472.14,0.1648
34724.21,2893.68,low,frugal,832.38,359.42,224.19,220.81,107.43,173.0,61.82,185.43,245.74,150,11.58,2571.81,321.87,0.1112
26882.61,2240.22,low,frugal,644.37,240.27,164.85,183.21,72.03,69.33,96.9,129.95,215.89,0,66.56,1883.36,356.85,0.1593
27123.49,2260.29,low,frugal,668.91,222.15,142.77,199.31,92.82,93.1,105.22,106.91,163.26,0,2.48,1796.91,463.38,0.205
30102.75,2508.56,low,frugal,786.07,289.95,174.35,195.19,86.45,92.04,71.4,136.2,145.97,150,12.08,2139.69,368.87,0.147
33531.75,2794.31,low,frugal,675.79,300.44,207.37,222.96,93.29,125.44,32.89,69.78,91.47,0,25.57,1844.99,949.32,0.3397
32935.77,2744.65,low,frugal,894.85,288.85,190.55,211.22,102.62,64.08,40.63,87.03,154.38,100,50.4,2184.61,560.04,0.204
16635.18,1386.27,low,frugal,384.67,147.07,104.72,117.62,53.1,57.44,56.89,52.05,211.34,60,43.63,1288.51,97.75,0.0705
17143.44,1428.62,low,frugal,448.78,123.97,96.19,106.02,56.29,44.55,31.98,72.59,187.37,60,7.32,1235.04,193.58,0.1355
25742.13,2145.18,low,frugal,673.84,241.67,141.64,169.0,79.8,83.27,118.65,102.03,99.6,0,21.92,1731.42,413.76,0.1929
18467.47,1538.96,low,frugal,344.63,175.31,114.26,122.28,62.73,48.52,112.94,59.97,181.19,0,24.32,1246.15,292.81,0.1903
23508.73,1959.06,low,frugal,477.12,212.39,143.98,145.39,82.37,62.7,25.18,57.11,92.42,30,52.0,1380.66,578.4,0.2952
30204.56,2517.05,low,frugal,663.99,324.77,155.56,184.73,102.05,69.06,77.45,133.42,82.44,0,13.76,1807.23,709.82,0.282
31291.49,2607.62,low,frugal,747.06,328.38,200.83,203.17,114.33,92.66,50.14,106.91,159.58,30,42.72,2075.79,531.84,0.204
33129.44,2760.79,low,frugal,718.3,305.01,201.4,230.92,102.7,150.14,109.39,168.15,81.06,100,2.51,2169.58,591.21,0.2141
26397.79,2199.82,low,frugal,639.55,243.92,171.53,168.8,86.09,110.25,92.23,102.61,187.83,30,31.81,1864.63,335.19,0.1524
18631.95,1552.66,low,frugal,440.68,178.9,103.82,101.11,63.0,69.63,89.67,93.48,198.27,60,30.84,1429.39,123.27,0.0794
29728.88,2477.41,low,frugal,638.76,264.87,179.17,215.54,85.68,59.69,20.46,78.75,144.59,30,27.92,1745.41,732.0,0.2955
29750.02,2479.17,low,frugal,610.71,262.17,162.43,195.97,99.11,89.44,78.06,118.54,57.4,150,12.38,1836.22,642.95,0.2593
23292.48,1941.04,low,frugal,655.38,210.63,139.91,154.98,78.87,66.0,26.57,90.26,115.14,60,48.68,1646.42,294.62,0.1518
18104.8,1508.73,low,frugal,432.24,159.62,107.33,125.79,64.37,58.95,22.71,48.0,104.73,0,51.68,1175.41,333.32,0.2209
19763.66,1646.97,low,frugal,452.29,172.54,125.33,136.44,63.98,72.91,109.63,31.26,78.24,60,64.27,1366.87,280.1,0.1701
31348.87,2612.41,low,frugal,658.82,263.71,207.89,179.68,110.82,79.2,49.45,171.9,221.03,100,33.93,2076.44,535.96,0.2052
15449.39,1287.45,low,frugal,369.36,120.02,82.7,109.12,52.2,68.56,47.23,26.91,237.38,30,40.86,1184.35,103.1,0.0801
28028.41,2335.7,low,frugal,629.45,262.89,189.97,210.33,85.93,112.68,71.89,45.87,89.04,60,19.94,1778.0,557.7,0.2388
22785.91,1898.83,low,frugal,492.4,182.9,126.04,164.71,70.18,89.06,41.49,40.92,104.77,60,48.21,1420.7,478.13,0.2518
21684.88,1807.07,low,frugal,491.73,198.95,131.98,140.69,83.7,71.4,99.94,82.47,95.95,0,80.1,1476.92,330.15,0.1827
17736.37,1478.03,low,frugal,411.38,167.55,107.93,105.61,60.92,85.19,104.92,48.09,158.25,0,46.19,1296.04,181.99,0.1231
33309.77,2775.81,low,frugal,805.0,294.67,217.91,220.64,106.9,148.69,43.0,66.35,68.4,100,5.76,2077.32,698.49,0.2516
21305.81,1775.48,low,frugal,554.68,194.77,138.39,125.16,72.54,55.03,99.88,106.78,121.39,60,55.86,1584.47,191.01,0.1076
32473.54,2706.13,low,frugal,655.77,251.14,181.24,230.24,105.64,78.37,24.21,52.61,209.35,60,15.77,1864.35,841.78,0.3111
33999.22,2833.27,low,frugal,855.79,300.75,203.19,238.9,103.15,184.77,71.27,93.55,88.88,100,26.77,2267.01,566.26,0.1999
16156.85,1346.4,low,frugal,365.73,131.76,103.11,116.75,55.34,39.65,79.29,51.12,75.14,0,74.42,1092.31,254.1,0.1887
34113.03,2842.75,low,frugal,814.17,315.23,215.46,263.99,112.1,106.25,69.59,61.05,97.62,100,40.32,2195.79,646.97,0.2276
24611.73,2050.98,low,frugal,629.66,227.59,163.31,149.22,71.28,118.45,105.06,122.12,202.41,60,52.88,1901.98,149.0,0.0726
30054.33,2504.53,low,frugal,691.89,273.66,197.73,187.27,103.14,131.04,48.7,111.93,219.62,60,45.78,2070.76,433.77,0.1732
30596.91,2549.74,low,frugal,729.15,266.53,191.48,204.76,111.85,140.84,50.1,125.13,62.26,60,3.94,1946.05,603.7,0.2368
32430.74,2702.56,low,frugal,722.88,300.68,218.95,215.07,103.3,75.4,99.48,127.21,103.93,60,20.87,2047.79,654.77,0.2423
34017.27,2834.77,low,frugal,779.61,278.06,202.23,238.27,102.26,87.47,109.41,84.38,101.09,30,67.88,2080.66,754.11,0.266
24464.2,2038.68,low,frugal,586.48,228.22,153.48,168.94,85.74,56.62,68.15,52.32,79.25,30,44.99,1554.19,484.49,0.2376
16284.18,1357.01,low,frugal,331.59,153.18,92.74,117.21,53.08,29.95,80.0,34.64,197.76,0,39.91,1130.07,226.95,0.1672
17098.6,1424.88,low,frugal,398.85,139.63,114.93,121.99,55.99,43.8,55.06,30.48,68.93,60,53.92,1143.58,281.31,0.1974
31011.73,2584.31,low,frugal,695.04,269.17,190.17,193.54,118.36,151.87,53.95,142.82,75.91,100,38.94,2029.76,554.55,0.2146
27871.55,2322.63,low,frugal,740.65,254.82,158.51,178.62,90.52,125.8,98.97,103.09,176.03,30,82.49,2039.51,283.12,0.1219
34495.86,2874.66,low,frugal,732.28,324.48,198.66,233.87,125.02,135.65,54.59,112.77,216.71,100,45.17,2279.2,595.46,0.2071
32468.46,2705.71,low,frugal,747.13,312.87,204.98,189.16,121.01,137.75,110.9,69.53,104.92,30,76.2,2104.45,601.26,0.2222
23906.11,1992.18,low,frugal,458.1,219.2,130.18,163.44,82.07,54.16,97.35,54.94,213.86,0,13.28,1486.59,505.59,0.2538
25395.48,2116.29,low,frugal,639.79,219.53,133.4,163.5,94.81,60.29,67.46,124.91,230.64,30,9.12,1773.47,342.82,0.162
20394.99,1699.58,low,frugal,477.73,173.46,121.09,124.71,66.95,73.49,65.47,70.96,142.23,0,25.43,1341.51,358.07,0.2107
29093.62,2424.47,low,frugal,712.13,239.78,165.85,223.66,95.5,115.37,81.78,154.03,183.31,30,57.72,2059.13,365.34,0.1507
22877.29,1906.44,low,frugal,500.85,210.78,148.3,149.44,78.34,92.6,52.7,95.91,225.81,60,68.75,1683.48,222.96,0.117
17404.18,1450.35,low,frugal,400.47,156.83,95.27,102.66,65.41,45.15,57.33,41.17,83.62,60,40.08,1147.98,302.37,0.2085
22595.72,1882.98,low,frugal,529.73,221.68,130.65,150.4,68.35,73.24,80.79,113.86,210.13,150,4.97,1733.8,149.18,0.0792
33688.72,2807.39,low,frugal,738.66,296.39,174.76,222.82,103.41,123.94,81.03,140.9,103.01,0,53.51,2038.44,768.95,0.2739
18628.77,1552.4,low,frugal,498.89,170.64,113.21,114.88,69.04,65.87,115.14,66.06,210.75,30,50.45,1504.91,47.49,0.0306
23220.57,1935.05,low,frugal,487.9,197.4,131.32,165.89,75.58,92.1,65.18,78.84,96.58,30,7.91,1428.69,506.35,0.2617
15472.77,1289.4,low,frugal,396.4,157.34,81.42,105.36,57.6,48.1,62.82,71.03,196.2,60,21.0,1257.28,32.12,0.0249
16588.39,1382.37,low,frugal,369.05,137.18,94.36,99.76,55.45,29.82,74.0,80.59,154.37,30,55.16,1179.75,202.62,0.1466
34882.79,2906.9,low,frugal,859.19,362.83,204.94,264.68,117.17,176.79,40.09,111.57,88.3,30,51.89,2307.45,599.45,0.2062
30909.0,2575.75,low,frugal,658.19,271.14,203.45,208.4,122.15,58.14,102.61,135.91,182.42,0,66.97,2009.37,566.38,0.2199
26076.04,2173.0,low,frugal,567.16,204.63,183.44,158.1,92.74,87.22,58.06,118.83,235.16,30,6.78,1742.12,430.88,0.1983
23059.6,1921.63,low,frugal,561.15,192.62,138.67,153.62,83.54,58.21,96.48,50.63,142.24,30,5.32,1512.47,409.16,0.2129
15516.24,1293.02,low,frugal,376.75,140.25,79.67,98.09,39.77,28.29,81.96,62.34,83.99,150,4.6,1145.72,147.3,0.1139
28900.7,2408.39,low,frugal,641.26,253.81,168.02,195.3,97.57,111.05,82.39,106.16,125.54,30,32.53,1843.64,564.76,0.2345
31550.76,2629.23,low,frugal,787.93,301.27,188.85,207.41,101.87,76.42,73.53,77.57,57.35,60,36.26,1968.47,660.76,0.2513
31887.14,2657.26,low,frugal,742.41,265.56,184.54,197.53,104.82,86.58,98.5,121.02,228.59,60,37.92,2127.47,529.79,0.1994
20093.41,1674.45,low,frugal,465.53,194.17,134.17,146.97,68.46,74.8,35.02,77.89,154.44,0,57.72,1409.16,265.29,0.1584
16441.69,1370.14,low,frugal,342.29,136.47,108.12,103.85,50.22,37.78,96.44,39.55,69.08,60,28.71,1072.51,297.63,0.2172
19113.75,1592.81,low,frugal,456.02,159.29,120.57,139.91,60.74,88.74,118.0,75.41,180.84,60,10.73,1470.26,122.56,0.0769
21765.35,1813.78,low,frugal,465.41,165.07,152.07,132.3,71.27,89.83,101.59,105.98,217.89,100,37.68,1639.09,174.69,0.0963
31839.97,2653.33,low,frugal,795.75,303.4,175.16,220.81,108.9,157.43,101.78,71.78,162.29,60,49.96,2207.26,446.07,0.1681
25167.21,2097.27,low,frugal,613.8,194.6,160.1,172.9,92.55,54.26,44.67,102.73,244.29,100,15.21,1795.11,302.16,0.1441
26101.7,2175.14,low,frugal,644.11,262.1,150.16,158.56,88.94,41.2,115.81,79.43,117.68,100,74.48,1832.46,342.68,0.1575
22366.19,1863.85,low,frugal,593.98,194.86,136.61,160.23,66.09,97.46,29.3,77.41,144.55,60,45.58,1606.08,257.77,0.1383
